Sample Size,setup,evaluation,verification
30,17.74168848991394,18.9509334564209,16.037366151809692
30,18.1877658367157,18.916385889053345,16.12595009803772
30,18.031171083450317,19.31364345550537,16.00840163230896
30,17.551724672317505,19.120955228805542,16.157013177871704
30,17.87190532684326,18.836225986480713,15.925957202911377
30,18.376977682113647,19.31367802619934,16.07961368560791
30,15.985498905181885,19.11461305618286,15.959059476852417
30,17.96237325668335,19.230472087860107,15.976972341537476
30,18.414759397506714,19.057907104492188,15.980320453643799
30,17.99670433998108,19.194753408432007,16.021047830581665
40,18.412523984909058,24.325804710388184,20.107996702194214
40,15.887768030166626,24.179227590560913,20.151986837387085
40,17.843738317489624,24.317023038864136,20.15057611465454
40,17.867851495742798,24.045597791671753,20.112516164779663
40,18.4440701007843,23.848747491836548,20.249332666397095
40,17.905656576156616,24.245803356170654,20.164729833602905
40,17.963514804840088,24.036494493484497,20.211175680160522
40,17.93639373779297,24.03032922744751,20.120609283447266
40,17.87648296356201,24.093305826187134,20.36064648628235
40,17.876864194869995,23.909764051437378,20.086047887802124
50,17.954375982284546,32.54165029525757,26.80538296699524
50,15.076636552810669,32.372443437576294,27.49112105369568
50,17.942522048950195,33.10664916038513,27.379031896591187
50,15.693265676498413,32.368122816085815,27.17286705970764
50,17.795008420944214,32.592833518981934,27.773378610610962
50,17.757034301757812,32.80384063720703,27.491517305374146
50,17.87302303314209,32.134846448898315,26.742505311965942
50,17.892310619354248,33.20260572433472,26.98377251625061
50,17.87325143814087,32.981330156326294,26.904119729995728
50,17.929401874542236,32.62949514389038,27.200755834579468
60,17.951919078826904,37.925772190093994,31.096933364868164
60,17.89005446434021,37.94336938858032,31.681042909622192
60,17.62283229827881,37.798733711242676,31.87696123123169
60,17.965129613876343,37.79685163497925,31.98221445083618
60,17.976709604263306,38.03620147705078,31.71727228164673
60,17.94602680206299,37.837849617004395,31.349403381347656
60,18.003414630889893,37.84205961227417,31.77853751182556
60,17.974154710769653,37.50310134887695,31.749468564987183
60,17.892571926116943,38.08321833610535,31.66683530807495
60,18.028606414794922,37.67300081253052,31.021060466766357
70,17.906444311141968,42.8565034866333,35.75447154045105
70,17.962713479995728,42.97492241859436,35.36915135383606
70,17.906996965408325,42.911259174346924,35.748952865600586
70,17.94524598121643,42.89654493331909,35.507516622543335
70,17.89618945121765,42.850916624069214,35.8204882144928
70,17.868263006210327,42.774476289749146,35.699058294296265
70,18.00979518890381,43.03566336631775,35.85575532913208
70,17.92300844192505,43.00612020492554,35.924649715423584
70,17.93459153175354,42.70260500907898,35.90388536453247
70,17.890661001205444,43.083261489868164,36.02266716957092
80,18.020032167434692,48.160574436187744,40.529613733291626
80,18.49656081199646,47.94079113006592,40.43434762954712
80,17.987006902694702,47.841625452041626,40.28333306312561
80,17.923017978668213,48.55048608779907,39.634403228759766
80,17.89889621734619,47.77768564224243,40.02833318710327
80,18.019112586975098,47.852782249450684,40.37546443939209
80,17.758687734603882,47.94094181060791,40.399203062057495
80,17.971365213394165,48.19986414909363,39.91890287399292
80,17.934123039245605,47.83041763305664,40.34058117866516
80,17.914931058883667,48.356154680252075,39.68726634979248
90,17.919960260391235,56.80192732810974,46.864964723587036
90,17.916656970977783,56.386714220047,46.06125330924988
90,16.90513014793396,56.3761842250824,46.66194462776184
90,17.968344926834106,56.61893963813782,46.04650807380676
90,18.011066436767578,56.030964612960815,46.86171531677246
90,17.90433120727539,56.47640013694763,47.17936062812805
90,17.985447883605957,56.26443290710449,46.500569343566895
90,17.764768838882446,56.97505259513855,47.275768518447876
90,17.892189264297485,56.273935317993164,47.27905321121216
90,17.88887357711792,55.755247354507446,46.69908118247986
100,17.903107166290283,61.518561363220215,51.85095405578613
100,18.04662013053894,61.810649394989014,51.26406502723694
100,18.080079317092896,61.3505597114563,51.232781648635864
100,18.0523464679718,61.693931341171265,51.4022490978241
100,18.001473426818848,61.8897066116333,51.522254943847656
100,18.035735368728638,62.601622104644775,52.05735969543457
100,16.85508966445923,61.89344763755798,51.10572075843811
100,17.86428689956665,61.59144043922424,51.71059250831604
100,18.08104372024536,61.64086627960205,51.43519926071167
100,18.011552810668945,62.118876218795776,51.68216013908386
